category,term,definition,context,frequency,trend,trend_label,featured,full_name,formula,current_value,current_value_period,current_value_color,chart_label,chart_type,chart_data,stat1_label,stat1_value,stat1_sub,stat1_color,stat2_label,stat2_value,stat2_sub,stat2_color,insight,source,back_source_label,back_title
Inflation,Income & Spending,"The BEA's monthly Personal Income and Outlays report tracks how much Americans earned and spent. It's released on the same day as PCE — in fact, PCE inflation is derived from this same data. Together they tell the full consumer story.","When income growth outpaces spending, consumers are building a cushion — a healthy dynamic. When spending outpaces income, it signals either credit-fueled consumption or savings depletion, both of which are unsustainable.",Published: Monthly (last Friday),flat,→ Mixed,,Personal Income & Personal Consumption Expenditures (BEA),Personal Income growth > Spending growth → savings rate rises → disinflationarySpending growth > Income growth → consumers drawing down savings → unsustainablePersonal Savings Rate = (Income − Spending) / Income,+0.2%,Jan 2026 · Spending MoM,blue,Personal Spending % Change MoM — Recent,bar_sign,"[{""label"":""Oct '25"",""value"":0.5,""displayValue"":""+0.5%""},{""label"":""Nov '25"",""value"":0.6,""displayValue"":""+0.6%""},{""label"":""Dec '25"",""value"":0.7,""displayValue"":""+0.7%""},{""label"":""Jan '26"",""value"":0.2,""displayValue"":""+0.2%""}]",Personal Income MoM,+0.9%,Strong — income > spending,green,Personal Savings Rate,4.6%,Rebuilding buffers,green,"Income growing faster than spending is a disinflationary signal — consumers are saving, not splurging. The savings rate tick-up to 4.6% shows resilience, not distress. This dynamic supports a soft landing and allows the Fed room to cut without reigniting demand-driven inflation.",U.S. Bureau of Economic Analysis,Latest Data · BEA,Personal Spending MoM — Current
Employment,U-6,"U-6 is the broadest official measure of unemployment. It counts not just the jobless (U-3 headline rate), but also discouraged workers who've stopped looking and people working part-time who want full-time work. It reveals labor market slack hidden in the headline.","When the U-6/U-3 gap widens, it means more people are working below their capacity — a sign of a cooling labor market even when the headline looks healthy. The Fed watches this to gauge true wage pressure potential.",Published: Monthly (alongside NFP),up,↑ Rising,,Broad (Real) Unemployment Rate,U-3 (Headline): Unemployed ÷ Labor ForceU-6 (Broad): (Unemployed + Marginally Attached + Part-Time for Economic Reasons) ÷ Labor ForceGap between U-6 and U-3 = degree of underemployment in the economy,8.0%,Feb 2026,red,U-6 Broad Unemployment Rate — Monthly,bar,"[{""label"":""Nov '25"",""value"":7.5,""displayValue"":""7.5%""},{""label"":""Dec '25"",""value"":7.6,""displayValue"":""7.6%""},{""label"":""Jan '26"",""value"":7.8,""displayValue"":""7.8%""},{""label"":""Feb '26"",""value"":8.0,""displayValue"":""8.0%""}]",U-3 Headline,4.1%,Looks healthy…,blue,U-6 / U-3 Gap,3.9 pts,Widening — more slack,red,"U-6 rising to 8.0% while U-3 holds at 4.1% means the gap is widening — more workers are stuck in part-time or marginally attached situations. This signals more labor market slack than the headline implies, which is actually good for inflation control but bad for consumer spending power and wage growth momentum.",U.S. Bureau of Labor Statistics,Latest Data · BLS,U-6 Unemployment — Current
Employment,LFPR,LFPR is the percentage of the civilian non-institutional population (age 16+) that is either employed or actively looking for work. It measures how much of America's potential workforce is actually in the labor market.,"The U.S. LFPR peaked at 67.3% in early 2000, dropped post-2008, and fell further during COVID. Its recovery is a long-term structural story — aging demographics make a full return to pre-2000 levels unlikely.",Published: Monthly (alongside NFP),down,↓ Declining,,Labor Force Participation Rate,"LFPR = Labor Force ÷ Civilian Non-Institutional Population × 100Declining LFPR → workers leaving workforce → unemployment rate falls ""artificially""Prime-Age LFPR (25–54 year olds) = cleanest signal, less affected by aging demographics",62.6%,Feb 2026,red,Labor Force Participation Rate — Monthly,bar,"[{""label"":""Nov '25"",""value"":62.9,""displayValue"":""62.9%""},{""label"":""Dec '25"",""value"":62.8,""displayValue"":""62.8%""},{""label"":""Jan '26"",""value"":62.7,""displayValue"":""62.7%""},{""label"":""Feb '26"",""value"":62.6,""displayValue"":""62.6%""}]",Pre-Pandemic Peak,63.4%,Still below Feb 2020,gray,Prime-Age LFPR,83.7%,Near pre-pandemic high,green,"The overall LFPR drag is mostly demographic — retiring boomers, not discouraged workers. Prime-age LFPR at 83.7% is nearly fully recovered. This distinction matters: if prime-age workers are participating, the labor supply is healthy; the headline decline isn't a crisis signal but a structural demographic reality.",U.S. Bureau of Labor Statistics,Latest Data · BLS,Labor Force Participation — Current
Central Banks,Dot Plot,"Four times a year, each of the 18 FOMC members submits their anonymous projection for where the Federal Funds Rate should be at year-end. Plotted as dots on a chart, this ""dot plot"" gives markets a direct window into Fed thinking on the rate path.","Markets move sharply when the median dot shifts. A ""hawkish dot plot"" (fewer cuts than expected) sends bond yields up; a ""dovish"" one (more cuts) rallies bonds and growth stocks. It's released quarterly alongside the Fed's economic forecasts.","Published: Quarterly (Mar, Jun, Sep, Dec)",flat,→ 2 Cuts in 2026,,FOMC Summary of Economic Projections (SEP),Median dot = official Fed guidance on rate pathDispersion of dots = degree of disagreement within the FedWide dispersion → high uncertainty; tight cluster → strong consensus,3.875%,Median 2026 year-end,gray,FOMC Member Projections for 2026 Year-End Rate (18 members),none,,2026 Median Dot,3.875%,2 × 25 bps cuts,blue,Long-Run Rate,2.875%,Neutral / r-star est.,gray,"10 of 18 members expect only 0–1 cuts in 2026 — more hawkish than markets hoped. The wide dispersion signals genuine uncertainty. Every new inflation or employment print reshuffles the dots. For investors, this means rate-sensitive positions (real estate, utilities, long bonds) face headwinds until the picture clarifies.",Federal Reserve SEP,Latest · Dec 2025 SEP,2026 Rate Path — Member Projections
Central Banks,QT,"Quantitative Tightening is the Fed's process of shrinking its balance sheet by allowing Treasury bonds and mortgage-backed securities (MBS) to mature without reinvesting the proceeds. It is the opposite of QE (Quantitative Easing), which expanded the balance sheet by purchasing these assets.","QT puts upward pressure on long-term Treasury yields by reducing a major buyer from the market. It's a form of tightening that works independently from rate hikes, making the total policy stance tighter than the FFR alone suggests.",Ongoing · $25B/month runoff pace,down,↓ Shrinking,,Quantitative Tightening / Fed Balance Sheet Runoff,"QE: Fed buys bonds → adds money to system → lower yields, more creditQT: Fed lets bonds mature → removes money from system → upward pressure on yieldsBalance sheet peaked at $9.0T (Apr 2022); now ~$6.8T — reduced by ~$2.2T",$6.80T,Feb 2026 · Total Assets,blue,Fed Total Assets ($T) — Monthly,bar,"[{""label"":""Nov '25"",""value"":6.95,""displayValue"":""$6.95T""},{""label"":""Dec '25"",""value"":6.90,""displayValue"":""$6.90T""},{""label"":""Jan '26"",""value"":6.85,""displayValue"":""$6.85T""},{""label"":""Feb '26"",""value"":6.80,""displayValue"":""$6.80T""}]",QT Pace,$25B/mo,Slowed from $60B/mo peak,blue,Peak Balance Sheet,$9.0T,Apr 2022 · Down ~$2.2T,gray,"QT at $25B/month means less Fed buying of Treasuries — the government must find private buyers for more of its debt. This keeps long-term yields elevated independent of the FFR. When the Fed eventually pauses QT (expected when reserves approach a ""comfortable"" floor), long bonds could rally significantly.",Federal Reserve H.4.1 Release,Latest · Federal Reserve H.4.1,Fed Balance Sheet — Current
Central Banks,M2,"M2 measures the total supply of money in the U.S. economy — physical cash, checking accounts, savings accounts, money market funds, and small CDs. It is the broadest widely-used measure of ""how much money is sloshing around.""",M2 surged 27% in 2020–21 (COVID stimulus) and then contracted in 2022–23 as the Fed tightened. Its recent re-acceleration to ~4% growth is being watched closely as a potential leading indicator of renewed inflation pressure.,Published: Monthly (Federal Reserve H.6),up,↑ Re-accelerating,,M2 Money Supply,"M1: Cash + checking accounts (most liquid)M2: M1 + savings + money market funds + small CDsMilton Friedman: ""Inflation is always and everywhere a monetary phenomenon"" — M2 growth predicts inflation with a 12–18 month lag",+4.1%,Feb 2026 · YoY,red,M2 Money Supply YoY Growth Rate — Monthly,bar,"[{""label"":""Nov '25"",""value"":3.5,""displayValue"":""+3.5%""},{""label"":""Dec '25"",""value"":3.7,""displayValue"":""+3.7%""},{""label"":""Jan '26"",""value"":3.9,""displayValue"":""+3.9%""},{""label"":""Feb '26"",""value"":4.1,""displayValue"":""+4.1%""}]",M2 Level,$21.4T,Total money supply,blue,COVID Peak Growth,+27%,2021 · drove 2022 inflation,gray,"M2 growing at 4% after shrinking in 2023 means monetary conditions are easing again. Historically, sustained M2 growth above 5–6% precedes inflation with a 12–18 month lag. This is why monetarist economists are cautious about declaring victory on inflation — money supply says the fight isn't fully won.",Federal Reserve H.6 Release,Latest · Federal Reserve H.6,M2 Year-Over-Year Growth — Current
Central Banks,SLOOS,"Every quarter, the Fed surveys ~80 large U.S. banks and ~24 foreign banks on their lending standards. The key question: are you tightening or easing credit conditions for business loans, mortgages, and consumer credit? The net percentage is the signal.","When banks tighten, businesses struggle to borrow and invest. SLOOS has predicted every recession since the 1990s — a sustained move above +30% net tightening is a reliable red flag. Fed Chair Powell references SLOOS in almost every press conference.","Published: Quarterly (Jan, Apr, Jul, Oct)",flat,→ Easing Slowly,,Senior Loan Officer Opinion Survey on Bank Lending Practices,Net % Tightening = % of banks tightening − % of banks easingPositive number → more banks making credit harder to getNegative number → more banks loosening credit (stimulative)SLOOS leads economic activity by ~6–9 months,14.6%,Q4 2025 · Still net tight,blue,Net % of Banks Tightening C&I Loan Standards — Quarterly,bar,"[{""label"":""Q1 '25"",""value"":22.4,""displayValue"":""22.4%""},{""label"":""Q2 '25"",""value"":18.3,""displayValue"":""18.3%""},{""label"":""Q3 '25"",""value"":16.1,""displayValue"":""16.1%""},{""label"":""Q4 '25"",""value"":14.6,""displayValue"":""14.6%""}]",C&I Loans Tight,14.6%,Declining from 22.4% peak,blue,Consumer Loans Tight,18.2%,Still restrictive,red,"Still net tightening, but the trend is clearly improving — a positive leading signal. When SLOOS returns to net neutral or easing, it typically precedes a credit expansion cycle 6–9 months later, which benefits small-cap stocks (more bank-dependent) and high-yield bonds. Watch for Q1 2026 survey results in April.",Federal Reserve SLOOS,Latest · Federal Reserve SLOOS,Net % Banks Tightening C&I Standards
Markets,CAPE,"CAPE divides the S&P 500 price by the average of the past 10 years of real (inflation-adjusted) earnings. Developed by Nobel laureate Robert Shiller, it smooths out business cycle volatility to give a cleaner picture of whether stocks are cheap or expensive historically.","CAPE is not a market timing tool — it has been ""elevated"" since the 1990s without predicting exact peak dates. But its long-run predictive power for 10-year returns is well documented: high CAPE → below-average returns over the next decade.",Updated: Monthly (Shiller's website),up,↑ Elevated,,Cyclically Adjusted Price-to-Earnings Ratio (Shiller PE10),CAPE = S&P 500 Price ÷ 10-Year Average Real EarningsHistorical average CAPE: ~17CAPE > 30 → historically expensive; low expected 10-year forward returnsCAPE < 15 → historically cheap; high expected forward returns,34.8,Mar 2026 · ~2× hist. avg,red,Shiller CAPE — Monthly,bar,"[{""label"":""Nov '25"",""value"":36.2,""displayValue"":""36.2""},{""label"":""Dec '25"",""value"":35.5,""displayValue"":""35.5""},{""label"":""Jan '26"",""value"":35.0,""displayValue"":""35.0""},{""label"":""Feb '26"",""value"":34.8,""displayValue"":""34.8""}]",Historical Average,~17,1871–present,gray,2000 Peak (dot-com),44.2,All-time high,gray,"At 34.8 — roughly double the historical average — U.S. equities are priced for perfection. Historical data suggests below-average 10-year returns from this level. This doesn't mean sell everything, but it does argue for diversification: international ETFs (VEA, EEM) trade at far lower CAPE ratios and offer better long-term value.",Robert Shiller / Yale,Latest · Shiller / Yale,Shiller CAPE Ratio — Current
Markets,Gold,"Gold is the oldest financial asset and the world's ultimate store of value and safe-haven currency. Its price reflects a combination of inflation expectations, real interest rates, geopolitical stress, central bank demand, and the strength of the U.S. dollar.","Central banks — especially China, India, Poland, and Turkey — have been buying gold at record pace since 2022 as a hedge against U.S. dollar dominance. This structural demand has suppressed gold's typical inverse relationship with rising real rates.",Updated: Continuously (global markets),up,↑ New Highs,,Gold Spot Price (XAU/USD),Gold rises when: real rates fall · dollar weakens · inflation fears rise · geopolitical risk spikes · central banks buyGold falls when: real rates rise · dollar strengthens · risk appetite returnsGold has no yield — its opportunity cost is the real interest rate,"$5,204",Mar 2026 · All-Time High,yellow,Gold Price ($/oz) — Monthly,bar,"[{""label"":""Dec '25"",""value"":3800,""displayValue"":""$3,800""},{""label"":""Jan '26"",""value"":4350,""displayValue"":""$4,350""},{""label"":""Feb '26"",""value"":4850,""displayValue"":""$4,850""},{""label"":""Mar '26"",""value"":5204,""displayValue"":""$5,204""}]",YTD Performance,+19.6%,"From ~$4,350 Jan 1",green,Central Bank Demand,Record,Structural driver,yellow,Gold at all-time highs alongside elevated real rates (which typically suppress gold) is unusual — driven by central bank de-dollarization buying and geopolitical hedging. A 5–10% gold allocation via GLD or IAU provides portfolio diversification; gold's correlation to equities has been near zero over the past decade.,LBMA / Spot Market,Latest · LBMA / Spot Market,Gold — Current Price
Markets,WTI,"WTI is the benchmark price for U.S.-produced crude oil, set at trading hubs in Cushing, Oklahoma. It is one of the most widely traded commodities in the world — and because oil touches almost every sector of the economy, its price ripples through inflation, corporate margins, and consumer spending.","Oil price is set by global supply/demand, OPEC+ production decisions, U.S. shale production, geopolitical events, and the strength of the dollar (oil is priced in USD globally). It is one of the most ""noisy"" indicators but also one of the fastest to move.",Updated: Continuously (NYMEX),flat,→ Stable,,WTI Crude Oil Price (West Texas Intermediate),"Oil high → gasoline prices rise · transportation costs rise · CPI risesOil low → consumer ""tax cut"" effect · airline, shipping margins improve · but signals weak demandEvery $10/bbl rise in oil adds approximately 0.2–0.3% to U.S. CPI",$70.1,Mar 2026 · per barrel,blue,WTI Crude Oil Price ($/bbl) — Monthly,bar,"[{""label"":""Dec '25"",""value"":69.2,""displayValue"":""$69.2""},{""label"":""Jan '26"",""value"":74.5,""displayValue"":""$74.5""},{""label"":""Feb '26"",""value"":72.0,""displayValue"":""$72.0""},{""label"":""Mar '26"",""value"":70.1,""displayValue"":""$70.1""}]",Brent Crude,$74.2,Global benchmark,blue,OPEC+ Target,~$70,Production cuts calibrated here,gray,"Oil near $70 is a Goldilocks level — low enough not to spike CPI, high enough not to signal demand collapse. OPEC+ production cuts are preventing a price drop that would reflect weak global growth. Watch for moves above $85 (inflation risk) or below $60 (demand recession signal) as the levels that would change the macro story.",NYMEX / EIA,Latest · NYMEX / EIA,WTI Crude Oil — Current
Markets,EPS Growth,"EPS growth measures how much corporate earnings increased (or fell) compared to the same quarter a year ago. For the S&P 500, it represents the aggregate earnings power of America's 500 largest public companies — the foundation of stock market valuations.","Every quarter, ~500 companies report results over a 4-week earnings season. ""Beats rate"" (% that exceed consensus estimates) and forward guidance matter as much as the actual numbers — stocks are priced on future expectations, not past results.",Published: Quarterly (earnings seasons),flat,→ Steady,,S&P 500 Earnings Per Share Growth (YoY),Stock prices = EPS × P/E multipleEarnings drive long-run returns; multiple expansion drives short-run movesEPS misses → stocks fall · EPS beats → stocks rally — especially during earnings season,+8.2%,Q4 2025 Blended YoY,green,S&P 500 EPS Growth YoY — Quarterly,bar,"[{""label"":""Q1 '25"",""value"":5.8,""displayValue"":""+5.8%""},{""label"":""Q2 '25"",""value"":9.4,""displayValue"":""+9.4%""},{""label"":""Q3 '25"",""value"":8.7,""displayValue"":""+8.7%""},{""label"":""Q4 '25"",""value"":8.2,""displayValue"":""+8.2%""}]",2026 Consensus Est.,+11.3%,Full-year forecast,green,Beats Rate,74%,Above historical avg (67%),green,"Eight percent earnings growth despite macro headwinds is solid. Markets are pricing in +11.3% for 2026 — which requires continued economic resilience. If macro softens or tariff costs bite into margins, earnings estimate cuts would likely compress the S&P 500's rich valuation. Watch guidance language in Q1 2026 earnings reports.",FactSet Earnings Insight,Latest · FactSet Earnings Insight,S&P 500 EPS Growth — Current
Trade & FX,Trade Balance,"The trade balance measures the difference between U.S. exports and imports. When imports exceed exports (the U.S. norm), the result is a trade deficit. The U.S. has run a persistent trade deficit for decades — it is the world's largest goods importer.","The trade deficit is politically charged but economically nuanced. A widening deficit can actually signal a strong economy (consumers buying imported goods). However, tariffs aimed at reducing the deficit often trigger retaliatory actions that hurt U.S. exporters.",Published: Monthly (~5th week),up,↑ Widening,,U.S. International Trade in Goods & Services,Trade Balance = Exports − ImportsNegative = trade deficit (U.S. buys more from the world than it sells)Widening deficit → GDP math drag (net exports subtract from GDP)But reflects strong domestic demand — not necessarily a sign of weakness,−$131B,Jan 2026 · Record monthly deficit,red,U.S. Monthly Trade Balance ($B) — Recent,bar_inverted,"[{""label"":""Oct '25"",""value"":-84.4,""displayValue"":""-$84B""},{""label"":""Nov '25"",""value"":-78.2,""displayValue"":""-$78B""},{""label"":""Dec '25"",""value"":-98.4,""displayValue"":""-$98B""},{""label"":""Jan '26"",""value"":-131.4,""displayValue"":""-$131B""}]",Goods Deficit,−$164B,Largest component,red,Services Surplus,+$32B,"Tech, finance, travel",green,"The record January deficit reflects companies front-loading imports ahead of tariffs — pulling demand forward. This will mechanically drag Q1 2026 GDP growth lower, but it's a distortion, not a signal of fundamental weakness. Expect the deficit to narrow once the pre-tariff rush subsides, which could provide a GDP bounce in Q2.",U.S. Census Bureau / BEA,Latest · Census Bureau / BEA,Trade Balance — Current
Trade & FX,Tariff Rate,The effective tariff rate is the average tax the U.S. government collects on all imported goods — calculated as total tariff revenue divided by total import value. It reflects the aggregate impact of all tariff schedules across all trading partners.,"The U.S. effective tariff rate averaged ~2.5% for two decades before 2025. The sweeping tariff actions of 2025–26 have pushed it toward levels last seen in the 1930s (Smoot-Hawley era), representing the most significant trade policy shift in nearly a century.",Updated: As policy changes,up,↑ Rising Fast,,U.S. Effective Tariff Rate on Imports,"Effective Tariff Rate = Tariff Revenue Collected ÷ Total Import ValueA 10% blanket tariff doesn't raise the effective rate by 10% immediately — some imports are exempt, others face retaliatory tariffs that reduce import volumePass-through to consumers: typically 80–100% within 6–12 months",~13.5%,Mar 2026 · Estimate,red,U.S. Effective Tariff Rate — Policy Timeline,bar,"[{""label"":""Pre-2025"",""value"":2.5,""displayValue"":""2.5%""},{""label"":""Jan 2025"",""value"":5.1,""displayValue"":""5.1%""},{""label"":""Sep 2025"",""value"":8.3,""displayValue"":""8.3%""},{""label"":""Mar 2026"",""value"":13.5,""displayValue"":""13.5%""}]",China Tariff Rate,54%,Highest bilateral rate,red,CPI Tariff Impact Est.,+0.5–1.5%,Full pass-through,red,"Tariffs at these levels are effectively a consumption tax — paid by U.S. importers and passed to consumers. For ETF investors, this means pressure on import-heavy retail and consumer goods companies, and a potential boost for domestic manufacturers. Watch earnings guidance for explicit tariff cost commentary starting in Q1 2026 reports.",PIIE / Tax Foundation / U.S. Customs,Estimated · PIIE / Tax Foundation,Effective Tariff Rate — Current
Trade & FX,USD/CNY,"USD/CNY measures how many Chinese yuan one U.S. dollar buys. A higher number means a weaker yuan (dollar stronger). China's central bank (PBOC) sets a daily ""fixing"" rate and allows the yuan to trade within a ±2% band around it — making this a managed, not freely floating, exchange rate.","The yuan is the global barometer of U.S.–China trade tensions. When tariffs escalate, China often allows controlled yuan depreciation to offset competitiveness losses. Rapid depreciation beyond 7.50 historically triggers EM currency contagion and global risk-off moves.",Updated: Daily (managed float),flat,→ Watched Closely,,U.S. Dollar vs. Chinese Yuan (Renminbi),Stronger yuan (lower USD/CNY) → Chinese exports more expensive · easier to import · PBOC looseningWeaker yuan (higher USD/CNY) → Chinese exports cheaper · offsets some tariff impact · capital outflow riskOffshore CNH rate (freely traded in Hong Kong) often diverges from onshore CNY,7.25,Mar 2026 · CNY per USD,red,USD/CNY (higher = weaker yuan) — Monthly,bar,"[{""label"":""Nov '25"",""value"":7.19,""displayValue"":""7.19""},{""label"":""Dec '25"",""value"":7.24,""displayValue"":""7.24""},{""label"":""Jan '26"",""value"":7.27,""displayValue"":""7.27""},{""label"":""Feb '26"",""value"":7.25,""displayValue"":""7.25""}]",PBOC Daily Fix,7.22,Slightly stronger than market,blue,Risk Threshold,7.50,Beyond here = EM contagion risk,red,"Yuan at 7.25 is elevated but within managed territory — the PBOC fix at 7.22 signals they're not allowing rapid depreciation. A controlled yuan limits tariff offset for China but preserves financial stability. If USD/CNY breaks 7.50, watch for a broader EM currency sell-off affecting EM ETFs (EEM, VWO) globally.",PBOC / Bloomberg,Latest · PBOC / Bloomberg,USD/CNY Exchange Rate — Current
